distFromSource,doubtful,hour,minute,regionCode,sourceEqMagnitude,typeMeasurementId,eqMagMb,eqMagMs,intensity,eqDepth,logrunupHt
534.797268,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
2789.132254,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
130.082663,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
78.655738,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
3691.535608,n,12,29,80,8.6,5,6.88237,7.3,6,15,m
2498.773249,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
629.333461,n,21,26,85,8.2,2,6.88237,7.8,9,30,s
3130.918987,n,19,28,81,8.1,2,6.88237,8.009683,9,19,s
428.410045,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
97.592132,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
16965.98026,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
6308.774093,n,5,46,80,9.1,5,7.2,8.3,8.530885,29,s
5318.203694,n,1,23,85,7.9,2,6.3,7.9,6,48,s
7232.622591,n,12,29,81,8.6,5,6.88237,7.3,6,15,l
7705.964678,a,4,14,85,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
36.314152,n,21,53,74,7,5,6.8,7.3,8.530885,13,s
138.064074,n,4,38,82,7.6,2,6,7.4,8.530885,36,s
5309.789146,n,16,58,80,9,5,6.88237,8.5,7,22,m
154.755122,n,19,19,85,8.3,1,6.88237,8.1,8.530885,15,m
130.574284,n,19,19,85,8.3,1,6.88237,8.1,8.530885,15,m
134.456388,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
622.91736,n,5,46,85,9.1,2,7.2,8.3,8.530885,29,s
57.99074,n,13,55,60,8.300422,5,6.88237,8.009683,8.530885,26.742663,s
11429.33286,n,22,54,82,8.3,2,6.88237,8.009683,9,22,s
13306.54364,n,5,46,89,9.1,5,7.2,8.3,8.530885,29,m
8035.94173,a,4,14,85,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
391.649398,n,18,17,85,6.9,2,6.4,6.9,8.530885,33,s
444.872684,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,s
143.559787,n,6,34,89,8.8,4,7.2,8.5,9,22,l
131.720889,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,s
129.331818,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
617.542135,n,0,59,89,8.3,1,6.88237,8.3,11,40,m
462.797637,n,1,51,82,7.1,2,6.88237,8.009683,8.530885,36,s
7209.562621,n,1,22,88,8.1,2,6.88237,8.3,9,45,s
70.265362,n,6,34,89,8.8,5,7.2,8.5,9,22,m
231.163944,n,17,31,85,8.4,1,6.88237,8.5,8.530885,15,m
3631.583104,n,12,29,80,8.6,5,6.88237,7.3,6,15,m
98.79173,n,19,50,85,8.3,5,6.9,8.1,8.530885,27,m
470.958919,n,8,14,85,7.7,2,6.8,7.7,8,44,s
179.971648,n,18,17,85,6.9,2,6.4,6.9,8.530885,33,s
10299.43965,n,4,32,81,8.5,1,6.88237,8.3,11,70,s
218.046819,n,18,17,81,7.6,2,7,7.6,8.530885,34,s
9053.677839,n,17,48,89,8.1,3,7.1,8.1,8.530885,18,s
104.910764,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
49.25519,n,10,2,83,7.5,4,6.88237,8.009683,9,20,s
2052.000158,n,0,58,60,9.1,5,7,8.8,8.530885,30,m
17095.62356,n,19,11,85,9.5,1,6.88237,8.5,12,33,s
5247.47079,n,18,17,80,7.6,2,7,7.6,8.530885,34,s
30.187738,n,11,51,50,7,10,6.88237,8.009683,8,21,s
11369.15946,n,22,54,82,8.3,2,6.88237,8.009683,9,22,s
3647.695718,n,14,22,80,8.6,5,6.88237,9.1,8.530885,33,m
250.320854,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
102.142339,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
262.095785,n,0,58,60,9.1,5,7,8.8,8.530885,30,l
0,m,10.1087,35.732291,50,8.300422,1,6.88237,8.009683,8.530885,26.742663,s
3842.752532,n,0,48,80,8.2,2,6.88237,8.009683,6,7,s
39.426469,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,m
2212.283242,a,4,14,82,8.300422,3,6.88237,8.009683,8.530885,26.742663,s
268.204925,n,17,7,85,7.5,2,6.88237,7.5,8.530885,20,s
1383.821616,n,23,30,85,7.5,2,6.4,7.3,8.530885,33,s
11180.06036,n,19,11,80,9.5,5,6.88237,8.5,12,33,m
252.65837,n,8,28,84,7.6,2,6.4,7.6,6,50,s
133.760305,n,19,50,85,8.3,1,6.9,8.1,8.530885,27,m
200.607841,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
3277.652781,n,0,48,87,8.2,2,6.88237,8.009683,6,7,s
1815.597366,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
