area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
MIYAGI,JAPAN,1.0,2725.499726,n,0.0,19.08185,KITANOURA,46.856593,42.0,4.0,True,85,4.2,1,7.5,4,True,2,1968,6.88237,7.5,7.0,30.0,647.0,s
MIYAZAKI,JAPAN,4.0,1856.741723,n,13.0,32.433,HOSOSHIMA,131.667,22.0,10.0,True,85,55.8,1,8.3,4,True,2,1994,7.3,8.1,9.0,14.0,91.0,s
MIYAGI,PHILIPPINES,16.0,17435.40081,n,22.0,13.15,LEGASPI,123.75,54.0,9.0,True,84,32.9,1,8.3,4,True,2,2015,6.88237,8.009683,9.0,22.0,7.0,s
AS,USA TERRITORY,29.0,204.331941,n,17.0,-14.28759,"LAULIITUAI, TUTUILA ISLAND",-170.65287,48.0,9.0,True,81,10.9,1,8.1,4,True,5,2009,7.1,8.1,8.530885,18.0,18.0,m
MIYAGI,NEW ZEALAND,17.0,2725.499726,n,7.0,19.08185,WAINUI BEACH,46.856593,6.0,5.0,True,81,0.0,1,6.9,4,True,1,1947,6.88237,7.2,8.530885,12.0,647.0,m
MIYAGI,JAPAN,11.0,125.131792,n,5.0,38.216222,"MIYAGI PREFECTURE, TOHOKU REGION",140.947,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,8.0,m
ISHIKAWA,JAPAN,1.0,13.319833,n,7.0,37.368897,KOIJI,137.24425,10.0,1.0,True,85,9.0,3,7.5,4,True,5,2024,6.9,7.2,9.0,10.0,8.0,m
MIYAGI,JAPAN,2.0,260.175115,n,17.0,38.867,NISHINOHANA,141.617,31.0,3.0,True,85,0.0,1,8.4,4,True,1,1933,6.88237,8.5,8.530885,15.0,48.0,m
YAMAGATA,JAPAN,16.0,75.216027,n,4.0,39.067,FUKUURAKO,139.883,1.0,6.0,True,85,44.3,1,7.5,4,True,1,1964,6.88237,8.009683,5.0,40.0,7.0,s
WAKAYAMA,JAPAN,11.0,814.91989,n,5.0,33.85,GOBO,135.167,46.0,3.0,True,85,24.1,1,9.1,4,True,2,2011,7.2,8.3,8.530885,29.0,14.0,s
CA,USA,25.0,78.436151,n,18.0,41.06,"TRINIDAD, CA",-124.13,6.0,4.0,True,88,4.2,1,7.2,4,True,2,1992,6.3,7.1,8.0,15.0,91.0,s
GALAPAGOS ISLANDS,ECUADOR,1.0,3004.792963,n,23.0,-0.433,BALTRA ISLAND,-90.283,46.0,4.0,True,89,47.3,1,8.2,4,True,2,2014,6.88237,8.009683,8.0,25.0,15.0,s
MIYAGI,NICARAGUA,2.0,187.721147,n,0.0,11.284067,BAH��A MARSELLA,-85.902983,16.0,9.0,True,88,3.3,1,7.6,4,True,5,1992,5.4,7.7,8.530885,30.0,7.0,l
FUKUSHIMA,JAPAN,11.0,180.302681,n,5.0,37.101972,"FUKUSHIMA PREFECTURE, TOHOKU REGION",140.988028,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,7.0,l
MIYAGI,"MICRONESIA, FED. STATES OF",2.0,1289.257242,n,14.0,9.517,"YAP ISLAND, CAROLINE ISLANDS",138.133,37.0,12.0,True,81,3.0,1,7.6,4,True,2,2023,6.88237,8.009683,7.0,32.0,0.0,s
FUKUSHIMA,JAPAN,11.0,209.294202,n,5.0,36.888886,"FUKUSHIMA PREFECTURE, TOHOKU REGION",140.796608,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,5.0,l
MIYAGI,JAPAN,11.0,126.683667,n,5.0,38.134944,"MIYAGI PREFECTURE, TOHOKU REGION",140.941056,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,10.0,l
BC,CANADA,6.0,9427.918016,n,1.0,49.153,"TOFINO (CLAYOQUOT),BRITISH COLUMBIA",-125.913,12.0,2.0,True,88,25.8,1,7.9,4,True,2,2013,6.4,7.4,8.0,24.0,12.0,s
