latitude,longitude,elevation
-32.933,151.783,0.0
-43.4,172.67,0.0
-43.606,172.722,0.0
-34.9885,173.536,0.0
-39.479,176.923,0.0
-41.2613,173.27278,4.0
-38.0,177.3,10.0
-45.7973,170.6373,0.0
-41.25,175.25,8.0
-45.82,170.65,0.0
-36.52,175.5,128.0
-36.58,174.69,8.0
-44.392,171.254,7.0
-41.75,171.567,9.0
37.71,-122.27,0.0
38.57,-121.48,18.0
36.55,136.87,85.0
21.3067,-157.867,0.0
21.927,-159.36,0.0
42.737,-124.497,0.0
-21.096,167.41,0.0
-20.2,169.82,352.0
-23.65,-70.404,10.0
-18.467,-70.333,0.0
-20.905,-70.136,15.0
-28.083,-71.146,19.0
-20.89,-70.15,0.0
-26.38,-70.67,0.0
-22.55,-70.27,11.0
-37.02,-73.15,58.0
-20.217,-70.156,12.0
-37.08,-73.17,0.0
-23.1,-70.45,7.0
-19.6,-70.2167,119.0
-21.02,-70.17,117.0
-18.0,178.0,711.0
19.73,-155.07,0.0
19.723,-155.078,17.0
32.733,129.867,11.0
-43.83,172.98,368.0
-36.92,174.78,35.0
-46.64,169.35,0.0
-38.68,178.02,0.0
-45.1,170.97,14.0
-35.27,174.17,0.0
-37.641089,176.181179,3.0
-39.033,177.367,55.0
-11.75,-77.133,106.0
-15.85,-74.23,144.0
-9.083,-78.616,0.0
-13.65,-76.4,28.0
-17.639,-71.338,24.0
-17.03,-72.1,0.0
-17.017,-72.0,147.0
-13.71,-76.22,0.0
-8.23,-78.92,382.0
-11.617,-77.25,0.0
-9.22,-78.55,0.0
-8.988,-78.647,9.0
-10.82,-77.67,48.0
-17.02,-72.01,79.0
33.84,-117.9,43.0
36.97,-122.02,10.0
37.865,-122.493,6.0
20.93,-156.25,57.0
20.85,-156.17,293.0
20.941,-156.343,0.0
21.577,-158.13,14.0
56.891,-135.248,24.0
17.967,-76.8,5.0
11.675,92.761,4.0
10.767,79.833,9.0
10.77,79.83,10.0
9.167,92.783,56.0
9.533,-78.917,0.0
-3.2,127.05,156.0
1.3718,125.0716,9.0
3.63,125.5,301.0
47.65,-122.25,8.0
40.5,25.5,0.0
40.8445,25.88,0.0
44.0,143.0,535.0
45.44,148.8,116.0
43.78,146.75,101.0
43.033,144.85,8.0
42.967,144.367,0.0
39.76,141.97,146.0
41.08,141.42,0.0
44.03,145.86,27.0
38.65,23.0,133.0
41.019,28.965,12.0
20.93,-156.68,98.0
19.48,-155.93,0.0
22.08,-159.32,4.0
19.57,-155.95,217.0
22.216,-159.412,73.0
19.477,-155.922,0.0
21.28,-157.829,39.0
35.167,139.617,9.0
42.02,143.12,0.0
32.433,131.667,91.0
41.93,143.24,37.0
33.467,135.783,0.0
40.45,141.683,0.0
38.45,141.47,95.0
39.31,-123.78,144.0
39.087,141.707,17.0
43.2781,145.5678,0.0
38.955,141.693,9.0
38.48,139.52,191.0
39.22,141.87,186.0
38.333,141.483,104.0
39.13,141.82,210.0
39.89,141.96,0.0
38.56,141.43,0.0
39.37,141.9,14.0
39.09,141.72,34.0
37.12,138.24,13.0
40.4,141.733,0.0
6.7,121.97,25.0
8.65,123.43,6.0
6.91,122.074,9.0
37.8,-122.27,21.0
37.25,21.83,321.0
59.55,-139.733,14.0
60.18,-144.52,0.0
61.13,-146.33,0.0
59.73,-139.84,0.0
-3.333,128.917,0.0
-3.33,128.3753,10.0
-2.933,128.133,0.0
1.37,125.08,5.0
-3.2833,128.9333,0.0
-3.2833,128.7667,0.0
-2.833,128.45,0.0
-4.22,152.18,17.0
19.2,-155.9,29.0
19.63,-155.99,0.0
43.35,145.583,0.0
13.47,144.83,109.0
2.56667,-77.88333,8.0
1.833,-78.733,0.0
19.7303,-155.0553,11.0
20.895,-156.477,0.0
41.7187,140.7247,0.0
20.8,-156.51,33.0
-6.598,147.857,6.0
-5.217,145.8,0.0
-8.667,148.4,7.0
18.267,-76.767,14.0
18.233,-76.667,53.0
18.2,-76.567,33.0
18.4,-77.1,38.0
18.367,-78.317,0.0
18.167,-76.45,108.0
18.367,-76.9,80.0
18.433,-77.2,37.0
18.317,-76.8,0.0
4.4,126.7,21.0
38.18,15.561,0.0
-41.617,171.883,78.0
31.583,130.567,0.0
38.7,20.578,428.0
38.46,20.58,0.0
38.05,140.917,0.0
38.6667,141.446,0.0
9.333,-82.25,0.0
25.15,121.75,12.0
-3.142,142.35,8.0
6.6333,124.0667,11.0
34.2,136.33,12.0
46.53,150.88,254.0
18.667,-64.65,0.0
18.45,-67.133,157.0
17.867,-66.533,0.0
17.959,-66.365,23.0
18.463,-66.084,0.0
17.983,-66.917,9.0
18.5,-67.033,78.0
18.08,-67.9,78.0
18.201066,-67.153,7.0
18.448,-66.733,48.0
18.51,-67.167,0.0
18.484,-67.169,0.0
18.367,-67.267,51.0
18.4,-67.183,13.0
18.45,-65.883,0.0
18.329,-64.961,0.0
27.0939,142.1947,0.0
-13.8268,-171.7613,0.0
-19.78,-174.34,6.0
-0.65,119.68,0.0
61.9,6.02,145.0
60.73,5.65,81.0
60.6,4.95,0.0
1.494,109.213,10.0
-8.5,143.3,8.0
22.63,120.27,117.0
-43.22,174.78,
21.593,-158.1055,6.0
53.42,159.85,0.0
54.117,159.983,0.0
33.717,-118.267,0.0
35.04,139.07,145.0
34.68,137.56,3.0
35.3,139.48,61.0
35.06,139.03,507.0
35.693,139.983,17.0
35.305,139.819,6.0
35.683,139.767,24.0
35.04,139.17,33.0
35.267,139.567,0.0
39.42,140.06,46.0
35.133,139.85,43.0
35.11,139.1,0.0
34.967,139.1,29.0
36.333,140.583,26.0
34.82,138.14,69.0
35.309,139.483,7.0
36.08,136.49,137.0
35.39,139.94,9.0
34.667,134.667,0.0
35.32,139.47,9.0
34.97,139.12,104.0
35.39,140.03,15.0
35.15,139.15,0.0
35.14,139.619,9.0
34.63,138.91,0.0
35.66,139.55,30.0
35.307,139.315,10.0
34.833,139.067,304.0
36.9,140.82,0.0
34.697,138.974,23.0
35.633,139.75,11.0
34.67,138.98,0.0
34.67,138.97,75.0
34.97,139.76,84.0
36.33,139.0,98.0
35.05,139.83,0.0
35.53,134.78,167.0
31.917,131.417,12.0
33.49,133.567,0.0
35.671,139.889,7.0
35.04,139.09,174.0
35.3,139.65,12.0
35.283,139.567,0.0
35.29,139.575,7.0
17.667,-101.642,6.0
21.28,-157.76,39.0
38.57,-28.7,699.0
35.68,135.03,12.0
36.18,133.2,0.0
34.7,139.4,162.0
35.75,135.1,0.0
44.5,33.6,3.0
32.867,-117.257,0.0
35.17666,-120.755,33.0
34.67,-120.58,63.0
38.015,24.42,18.0
53.25,-132.08,0.0
8.37,126.3342,8.0
-41.25,172.117,8.0
44.633,-63.583,26.0
47.05,-55.183,0.0
46.86,-55.73,0.0
46.183,-59.967,6.0
45.333,-61.0,4.0
39.355,-74.4183,0.0
47.25,-54.5,0.0
46.167,-60.167,70.0
34.008,-118.5,0.0
33.988,-118.472,13.0
-1.637,144.02,0.0
-4.483,145.417,61.0
34.40829,-119.68499,0.0
-10.455,161.918,9.0
-10.83492,162.4552,57.0
-10.83,162.35,40.0
31.583,131.417,0.0
33.75,-118.22,0.0
19.05,-104.333,0.0
18.917,-104.067,18.0
40.39833,23.87833,8.0
33.719,-118.272,0.0
20.88,-156.69,0.0
40.83,140.72,7.0
41.52,140.27,233.0
42.0,143.0,0.0
21.889,-159.489,14.0
31.9,131.45,7.0
38.5,141.5,0.0
3.8,126.8,265.0
-25.4081,-70.4917,0.0
38.567,141.467,0.0
-4.3,152.16,53.0
-0.7912,119.8733,25.0
-0.02,120.17,0.0
-0.38,120.02,17.0
43.6,144.3,124.0
38.32,141.0,45.0
53.898,-166.515,0.0
60.119,-149.427,0.0
57.052,-135.342,5.0
41.7456,-124.184,0.0
-9.6287,159.667,15.0
-6.27,150.3333,10.0
45.11,141.25,82.0
45.1836,141.14,6.0
45.25,141.1833,8.0
42.2489,130.3003,9.0
45.13,141.3,38.0
45.25,141.15,0.0
44.5336,141.7697,8.0
44.3053,141.6544,30.0
43.33,140.3839,11.0
46.67,141.855,9.0
44.364,135.818,13.0
9.967,-84.833,0.0
-12.069,-77.1668,0.0
-15.568,-74.851,6.0
-17.0009,-72.1088,9.0
33.75,-118.25,0.0
-33.027671,-71.627873,0.0
52.83,173.2,0.0
51.863,-176.632,8.0
34.15,-119.18,7.0
33.6,135.4,63.0
33.8,136.03,81.0
34.61,138.24,0.0
34.68,137.5,20.0
34.73,137.88,26.0
34.27,136.87,0.0
34.25,136.83,0.0
31.42,130.2,0.0
24.3,123.82,270.0
34.0,136.25,149.0
33.82,136.05,7.0
33.47,135.78,7.0
34.1,136.233,0.0
34.18,136.32,0.0
33.73,136.02,0.0
34.25,136.85,0.0
34.25,135.5,558.0
34.25,136.467,0.0
33.52,135.82,14.0
33.7,136.5,0.0
34.68,137.62,6.0
33.88,136.1,0.0
34.733,138.75,38.0
33.98,136.23,0.0
34.07,136.23,0.0
34.03,136.23,327.0
33.5,135.917,0.0
35.03,138.94,11.0
33.97,132.63,7.0
34.27,136.9,0.0
24.38,124.15,55.0
33.93,136.183,205.0
35.02,138.483,7.0
34.1,136.27,0.0
33.85,136.167,0.0
34.83,138.58,0.0
34.66,137.27,9.0
33.633,135.933,62.0
34.07,136.2,10.0
34.32,136.83,16.0
33.567,135.9,120.0
34.25,136.8,0.0
34.13,136.27,7.0
18.933,72.85,0.0
24.804,66.97,4.0
56.28,-158.4,390.0
37.77166,-122.29833,0.0
38.914,-123.711,0.0
35.179,-120.735,5.0
37.9,-122.68,0.0
33.432,-118.505,0.0
38.0,-122.92,0.0
36.605,-121.888,0.0
35.337752,-120.8512,0.0
37.86,-122.58,11.0
39.43,-123.8,37.0
36.618,-121.917,53.0
37.504941,-122.486922,18.0
37.724,-122.369,9.0
37.58,-122.32,10.0
21.59,-158.113,0.0
20.76,-155.98,0.0
22.21,-159.5,0.0
21.578,-158.283,0.0
21.716,-157.987,0.0
19.37,-154.97,26.0
21.192,-156.986,0.0
21.296,-157.661,0.0
21.92,-159.62,67.0
21.696,-158.024,0.0
19.735,-155.031,0.0
19.73,-155.05,11.0
19.88,-155.12,79.0
21.392,-157.716,9.0
19.99,-155.24,12.0
20.7,-155.98,0.0
20.186,-155.906,0.0
21.323,-157.672,0.0
19.18,-155.9,89.0
21.45,-157.75,13.0
21.91,-160.15,107.0
19.82,-155.1,135.0
21.93,-159.65,0.0
19.79,-155.1,107.0
20.91,-156.49,11.0
19.83,-155.1,138.0
19.46,-154.846,20.0
21.91,-159.58,47.0
21.592,-157.9,25.0
19.14,-155.5,8.0
18.91,-155.68,0.0
20.91,-156.407,12.0
20.27,-155.85,0.0
21.445,-158.19,0.0
21.63,-158.07,37.0
22.216,-159.542,0.0
43.119,-124.408,5.0
43.352,-124.192,12.0
46.22,-124.0,6.0
44.65,-124.06,6.0
45.98,-123.92,5.0
43.97,-124.14,9.0
-13.83,-171.759,9.0
-9.76,-139.0,498.0
-4.583,-81.283,7.0
48.367,-124.612,0.0
47.38,-124.28,64.0
49.233,-124.817,0.0
19.354676,-69.827642,18.0
19.417,-69.817,0.0
18.483,-66.133,0.0
35.45,138.15,2566.0
33.62,134.37,41.0
33.63,134.41,0.0
32.17,130.6,498.0
32.18,130.37,29.0
33.97,136.22,0.0
34.77,137.17,6.0
34.32,136.65,27.0
34.72,137.25,0.0
33.76,134.53,81.0
33.95,136.2,205.0
32.8,132.97,0.0
35.62,134.38,0.0
34.82,135.44,53.0
33.67,134.42,7.0
33.52,135.88,0.0
33.03,133.07,0.0
35.86,139.97,31.0
33.88,136.13,0.0
32.783,132.7,0.0
34.0,136.22,30.0
33.5,135.92,0.0
34.06,134.55,8.0
35.06,138.53,8.0
41.273,141.155,10.0
34.37,135.23,0.0
36.13,139.45,14.0
33.06,133.1,42.0
33.32,134.2,0.0
34.9,139.92,0.0
33.95,136.22,158.0
36.29,138.24,621.0
33.33,133.67,0.0
33.51,133.44,12.0
33.85,134.72,0.0
34.183,135.167,0.0
34.28,134.95,0.0
-39.17,177.928,0.0
-38.66,178.15,0.0
-38.4,178.33,65.0
-37.62,177.92,8.0
45.42,141.68,7.0
35.5,27.2,95.0
38.627,20.607,0.0
21.4498,-158.197,6.0
55.333,-131.633,0.0
-6.65,147.867,0.0
61.23,7.73,435.0
60.65,5.43,0.0
60.5,7.0,0.0
59.35,7.22,879.0
63.38,10.15,66.0
58.92,5.73,5.0
59.5,6.25,0.0
60.85,5.52,88.0
60.68,5.65,328.0
61.85,6.63,45.0
65.3,12.85,335.0
65.12,13.07,771.0
60.42,6.23,1.0
60.83,5.33,26.0
62.35,6.57,37.0
62.2,12.17,880.0
61.5,5.7,19.0
61.17,6.92,560.0
62.32,6.9,506.0
60.3,5.32,103.0
60.07,5.8,0.0
60.63,5.88,211.0
62.28,6.97,150.0
60.43,6.7,0.0
13.498,-89.317,129.0
13.333,-87.817,0.0
13.917,-90.833,6.0
16.837933,-99.903,8.0
19.188,-155.91,0.0
33.18,-117.37,9.0
-2.2177,-80.9064,0.0
21.383,-157.965,0.0
41.95,143.25,0.0
43.05,145.08,8.0
42.08,143.02,74.0
38.3,141.1,0.0
42.87,142.46,351.0
41.983,143.167,22.0
42.284,143.319,19.0
38.72,141.52,37.0
42.95,144.53,0.0
38.75,141.52,44.0
38.48,140.62,880.0
36.3667,140.4667,20.0
39.3,140.92,238.0
40.8333,140.73,8.0
35.25,139.87,26.0
40.48,141.8,0.0
39.3,141.88,25.0
45.12,141.22,72.0
42.333,142.367,6.0
42.167,142.767,4.0
38.72,142.52,
41.95,143.22,19.0
8.733,167.733,0.0
6.9,134.13,27.0
13.433,144.65,18.0
19.29,166.6183,6.0
9.517,138.133,0.0
13.6,144.9,104.0
58.3,-134.42,12.0
59.44,-135.33,61.0
57.730313,-152.513871,0.0
37.72,-122.37,8.0
49.153,-125.913,12.0
48.425,-123.372,0.0
-18.4758,-70.3232,8.0
-27.0644,-70.8247,0.0
-36.6953,-73.1063,0.0
13.483,-89.317,0.0
21.314,-157.652,0.0
21.899,-159.578,17.0
22.25,114.17,9.0
50.867,156.67,1.0
51.5,156.517,6.0
52.0,158.2,357.0
53.1,160.03,170.0
56.37,162.45,0.0
24.267317,-110.332833,2.0
16.1684,-95.1968,0.0
11.367,162.35,0.0
-4.2,152.17,7.0
-36.85,174.78,17.0
-35.57,174.49,26.0
-35.63,174.5,24.0
-35.61,174.52,36.0
11.25,-85.867,63.0
-2.817,-171.717,0.0
7.3666,151.8833,0.0
8.267,-82.867,16.0
-6.215,155.625,0.0
-5.6,148.0,493.0
28.215,-177.361,0.0
50.86,155.66,50.0
50.87,156.66,3.0
44.9,147.5,460.0
50.75,156.53,0.0
59.565,150.79,77.0
49.33,154.68,455.0
48.08,153.26,96.0
50.68333,156.13,7.0
48.75,154.0,406.0
50.72,156.195,26.0
46.633333,142.766667,29.0
48.547,-123.007,0.0
47.6,-122.33,14.0
19.8,-70.683,0.0
-18.39,178.1,5.0
-18.133,178.433,41.0
-18.95167,178.3764,12.0
34.710833,137.726111,18.0
34.69,136.54,0.0
-29.908,-71.26,19.0
-30.267,-71.517,0.0
19.52,-154.8,0.0
36.95,26.983,8.0
38.08,23.5,85.0
37.38,23.25,0.0
36.73,25.28,14.0
36.8,24.58,100.0
36.15,22.98,164.0
37.1,25.2,205.0
37.77,26.97,131.0
37.15,24.5,17.0
39.12,23.72,122.0
37.55,25.15,45.0
39.5,23.0,944.0
51.98,-176.13,0.0
53.22,-168.42,547.0
33.73,-118.08,4.0
38.32,-123.03,41.0
33.61,-117.9,5.0
22.22,-159.55,21.0
21.162,-156.736,0.0
19.43,-155.9,79.0
20.08,-155.47,348.0
22.22,-159.42,44.0
21.9544,-159.36,24.0
21.59,-158.11,16.0
20.21,-155.73,0.0
21.598,-158.113,0.0
20.12,-155.59,0.0
42.17,142.78,41.0
31.8484,-116.6181,5.0
27.925,-110.892,10.0
23.18,-106.42,0.0
25.6,-109.07,8.0
1.984,-157.473,0.0
-27.15,-109.45,0.0
-14.285,-170.72,19.0
16.7363,-169.5283,3.0
-9.0,-139.5,0.0
-3.33,152.0,1381.0
-2.035,147.367,0.0
-8.57,160.72,11.0
60.0,-139.58,0.0
58.33,-136.85,26.0
59.13,-138.61,0.0
58.75,-136.33,0.0
21.433,-157.79,0.0
21.9544,-159.3561,0.0
37.82,140.98,0.0
36.333,140.59,18.0
-7.95,156.55,20.0
-2.05,147.4,21.0
53.883,-166.533,0.0
-28.87,153.58,0.0
-27.36666,153.16666,0.0
-16.91666,145.78333,0.0
-30.3,153.15,0.0
-37.07366,149.907739,0.0
-32.055833,115.73944,6.0
-42.88,147.33,13.0
-29.42,153.37,0.0
-31.517,159.067,0.0
-29.058333,167.953611,0.0
-38.07,140.7,0.0
-19.25,146.83333,0.0
-25.28,152.97,0.0
33.75,-118.12,0.0
33.345,-118.325,0.0
38.27,-123.0,0.0
44.808,-124.063,9.0
38.77,-123.48,111.0
36.8,-121.78,10.0
37.614,-122.487,36.0
35.13,-120.63,17.0
34.14,-119.19,5.0
40.02,-124.07,0.0
37.9,-122.63,188.0
33.0,-118.55,36.0
51.93,-131.02,0.0
52.65,-129.48,0.0
54.32,-130.33,0.0
8.92,-79.53,0.0
-41.867,-73.8278,10.0
-42.5,-73.917,655.0
-43.58,-74.83,0.0
-37.617,-73.65,111.0
-40.55,-73.76,0.0
-45.4,-72.7,6.0
-53.17,-70.93,19.0
-35.33,-72.42,44.0
-38.78,-73.4,6.0
-33.6359,-78.831,7.0
-39.8,-73.233,17.0
9.4246,-84.1711,3.0
-0.9,-89.616,0.0
21.906,-159.408,93.0
22.23,-159.45,0.0
19.26,-155.25,0.0
20.78,-156.45,30.0
19.43,-154.88,41.0
20.92,-156.38,0.0
22.05,-159.33,0.0
40.83,140.75,5.0
33.97,130.95,81.0
34.2,129.3,0.0
44.38,143.22,118.0
33.95,130.97,10.0
39.83,141.86,190.0
28.383,129.5,4.0
38.0,141.88,0.0
39.33,142.0,0.0
35.67,139.77,18.0
34.217,135.15,9.0
-45.8143,170.6294,0.0
-38.676,178.028,78.0
-37.87,176.37,51.0
-36.29,174.8,41.0
-43.6,172.72,43.0
-37.76,176.44,0.0
-37.64,176.2,0.0
-39.47,176.91,0.0
-45.108,170.98,0.0
-35.32,174.12,0.0
-45.78,170.67,262.0
-39.64,176.98,13.0
-35.6,174.533,46.0
-41.2846,174.7791,7.0
-37.97,176.99,7.0
-35.76,174.35,0.0
-36.84,-175.69,
-3.57,143.63,18.0
-27.15,-109.33,0.0
-14.3,-170.68,13.0
-18.1342,178.4236,0.0
-17.0,-72.117,0.0
-15.35,-75.16,0.0
13.95,122.23,39.0
13.15,123.75,7.0
11.25,125.0,8.0
23.0,120.09,0.0
23.97,121.613,0.0
22.62,120.28,6.0
23.57,119.55,0.0
50.42,155.83,320.0
46.95,-124.03,0.0
46.7,-123.97,0.0
46.68,-124.07,0.0
40.1878,141.7689,13.0
42.9756,144.3714,6.0
-6.85,-79.88,13.0
-6.927,-79.866,7.0
34.9189,139.825,7.0
35.5,140.5,0.0
28.32,129.94,17.0
-17.667,168.517,99.0
-17.7553,168.3077,0.0
21.289,-157.844,14.0
43.35,145.77,13.0
48.07,153.28,0.0
43.867,146.817,0.0
46.95,152.1,0.0
46.2,150.55,0.0
45.27,148.5,0.0
58.01,-152.77,10.0
59.8,-144.6,14.0
60.07,-142.43,4.0
60.17,-152.0,0.0
60.48,-145.87,292.0
55.46,-133.13,0.0
59.59,-151.22,62.0
59.63,-151.53,0.0
56.83,-153.83,0.0
55.55,-133.083,0.0
57.75,-152.483,11.0
57.78,-152.4,39.0
57.201,-153.305,0.0
57.93,-152.5,23.0
59.1,-151.67,174.0
59.3,-151.9,623.0
59.47,-151.68,88.0
58.0,-154.0,0.0
57.13,-153.18,386.0
57.717,-152.517,0.0
-63.3833,-56.9833,0.0
37.79,-122.27,0.0
39.25,-123.53,288.0
47.17,-124.08,26.0
36.97,-121.95,0.0
40.77,-124.22,9.0
38.43,-123.1,46.0
41.5456,-124.074,4.0
37.375,-122.407,32.0
37.78,-122.24,13.0
36.57,-121.95,29.0
38.95,-123.73,9.0
34.35,-119.43,0.0
39.329,-123.805,24.0
33.38,-118.42,566.0
46.333,-124.05,11.0
41.937,-124.198,0.0
38.23,-122.98,6.0
41.06,-124.13,91.0
39.28,-123.77,138.0
8.917,-79.533,12.0
-39.8783,-73.4228,0.0
6.23,-77.4,7.0
13.5739,-89.8383,0.0
22.157,-159.308,22.0
21.59,-158.12,0.0
22.079,-159.318,2.0
19.997,-155.244,0.0
20.195,-155.906,0.0
22.18,-159.33,79.0
21.61,-158.11,0.0
21.69,-158.03,0.0
21.643,-158.068,0.0
20.124,-155.595,0.0
31.8,131.48,0.0
40.88,140.85,11.0
32.95,132.567,69.0
-42.47,171.2,64.0
-37.725,176.157,0.0
42.05,-124.28,21.0
43.39,-124.29,0.0
46.02,-123.9,36.0
45.658,-123.933,8.0
46.212,-123.971,3.0
45.46,-123.84,9.0
43.69,-124.21,0.0
42.006,-124.214,6.0
44.63,-124.06,19.0
47.1,-124.0,87.0
43.97,-124.08,0.0
47.23,-124.2,28.0
46.181389,-123.182222,13.0
47.2,-124.2,26.0
42.423,-124.429,0.0
37.97,-122.52,9.0
46.28,-124.05,4.0
47.8,-123.63,1595.0
46.3,-124.03,0.0
47.21,-124.21,9.0
47.909,-124.637,7.0
